Topic,Words,Frequency,Timestamp
51,"dream, dream vendor, dream market, vendor, vendor dream",415,2019-10-29 08:00:00.000
51,"wallstreet xpost, verifeid vendor, verifeid, bulk high, quality gram",4,2020-01-21 16:00:00.000
52,"order, cancel, cancelled, refund, cancel order",58,2019-08-05 17:55:40.800
52,"order, cancel, cancelled, refund, cancel order",272,2019-10-29 08:00:00.000
52,"review malumalu, vender review, malumalu, vender, review",1,2020-01-21 16:00:00.000
53,"bank, bank log, bank drop, log, bank account",60,2019-08-05 17:55:40.800
53,"bank, bank log, bank drop, log, bank account",267,2019-10-29 08:00:00.000
53,"xan bars, bars give, domestic xan, give comparison, comparison",1,2020-01-21 16:00:00.000
54,"onion, onion site, site, onion link, list",45,2019-08-05 17:55:40.800
54,"onion, onion site, site, onion link, list",199,2019-10-29 08:00:00.000
54,"potential cd, cd, potential, onion, onion site",1,2020-01-21 16:00:00.000
55,"phishing, phished, phishing link, link, warning",52,2019-08-05 17:55:40.800
55,"phishing, phishing link, phished, link, warning",201,2019-10-29 08:00:00.000
56,"apollon, apollon market, market, apollon apollon, mysteryland",53,2019-08-05 17:55:40.800
56,"apollon, apollon market, market, apollon apollon, mysteryland",189,2019-10-29 08:00:00.000
57,"opsec, opsec opsec, opsec question, orbital one, notch vendor",35,2019-08-05 17:55:40.800
57,"opsec, opsec opsec, opsec question, question, bad opsec",190,2019-10-29 08:00:00.000
57,"eu vendor, uk eu, eu, uk, opsec",1,2020-01-21 16:00:00.000
58,"link, working link, working, pm, link please",42,2019-08-05 17:55:40.800
58,"link, working link, working, pm, link please",187,2019-10-29 08:00:00.000
59,"mirror, working, working mirror, mirror link, empire mirror",38,2019-08-05 17:55:40.800
59,"mirror, working mirror, working, mirror link, empire mirror",180,2019-10-29 08:00:00.000
59,"off intro, intro sale, off, intro, sale",1,2020-01-21 16:00:00.000
60,"fentanyl, fent, litt, carfentanil, heroin",51,2019-08-05 17:55:40.800
60,"fentanyl, fent, carfentanil, selling fentanyl, analogue",168,2019-10-29 08:00:00.000
60,"aka mrmillionaire, realbitcoinbillionaire aka, back scamming, mrmillionaire back, empire allows",2,2020-01-21 16:00:00.000
61,"cgmc, invite, invite code, code, cgmc invite",33,2019-08-05 17:55:40.800
61,"cgmc, invite, invite code, code, cgmc invite",177,2019-10-29 08:00:00.000
61,"crystal high, chucknorristeam mdma, purity review, chucknorristeam, mdma crystal",1,2020-01-21 16:00:00.000
62,"alprazolam, powder, alprazolam powder, flualprazolam, etizolam",51,2019-08-05 17:55:40.800
62,"alprazolam, powder, alprazolam powder, flualprazolam, mg",237,2019-10-29 08:00:00.000
62,"alp diazepam, diazepam europe, luna market, luna, diazepam",2,2020-01-21 16:00:00.000
63,"dmt, dmt vendor, dmt vape, odsmt, dmt dmt",41,2019-08-05 17:55:40.800
63,"dmt, dmt vendor, dmt vape, odsmt, dmt dmt",161,2019-10-29 08:00:00.000
64,"captcha, rapture, rapture market, apb mapb, mapb",35,2019-08-05 17:55:40.800
64,"captcha, rapture, rapture market, market, login",152,2019-10-29 08:00:00.000
65,"chemical, research, research chemical, bromazolam, chems",26,2019-08-05 17:55:40.800
65,"chemical, research, research chemical, chems, research chemicals",172,2019-10-29 08:00:00.000
66,"tor, tor browser, browser, research, disabled",38,2019-08-05 17:55:40.800
66,"tor, browser, tor browser, tor network, network",183,2019-10-29 08:00:00.000
66,"picking package, package post, picking, post office, office",1,2020-01-21 16:00:00.000
67,"mephedrone, meopcp, mxe, mescaline, mmc",36,2019-08-05 17:55:40.800
67,"mephedrone, meopcp, mxe, mescaline, mmc",142,2019-10-29 08:00:00.000
